name,pct_change,total_mv,up_num,down_num
短剧互动游戏,0.5,37016454.4,14.0,11.0
新型工业化,1.41,161490990.4,60.0,29.0
星闪概念,1.8,54051640.0,26.0,9.0
BC电池,3.24,36884704.0,20.0,2.0
SPD概念,4.04,6869513.3,11.0,0.0
减肥药,2.09,36513051.2,20.0,5.0
机器人执行器,-0.1,53759451.2,11.0,15.0
高压快充,1.8,39238070.4,32.0,10.0
空间计算,2.08,13770705.1,20.0,3.0
裸眼3D,1.34,30999051.2,19.0,1.0
混合现实,1.16,106565704.0,18.0,11.0
央企改革,1.19,3382098278.4,381.0,65.0
中特估,1.05,2276142899.2,62.0,18.0
液冷概念,2.32,112857579.2,53.0,8.0
存储芯片,1.29,102118478.4,35.0,18.0
光通信模块,1.88,85399993.6,47.0,12.0
数据要素,2.32,179339384.0,102.0,25.0
算力概念,3.39,640371686.4,118.0,18.0
ERP概念,1.7,25632317.5,12.0,5.0
MLOps概念,2.19,20152369.2,7.0,3.0
同步磁阻电机,1.86,6563340.8,4.0,2.0
时空大数据,2.15,14960286.4,19.0,4.0
数字水印,1.5,11131932.9,13.0,4.0
CPO概念,2.28,134686705.6,37.0,9.0
AI芯片,1.25,123906420.8,17.0,9.0
ChatGPT概念,1.5,216121884.8,53.0,23.0
电子后视镜,2.53,36585201.6,19.0,3.0
毫米波概念,1.79,48277772.8,31.0,8.0
蒙脱石散,1.66,5633112.7,10.0,1.0
血氧仪,1.88,13048259.6,12.0,2.0
第四代半导体,1.27,11054212.4,4.0,0.0
熊去氧胆酸,1.4,33187798.4,19.0,2.0
PLC概念,-0.12,36413188.8,1.0,8.0
数据确权,2.37,29176804.8,28.0,6.0
抗菌面料,1.69,7752687.1,15.0,0.0
跨境电商,1.01,139153857.6,95.0,31.0
复合集流体,1.73,18180294.3,17.0,8.0
破净股,1.59,2079697996.8,407.0,35.0
AIGC概念,1.71,201249227.2,76.0,36.0
Web3.0,2.24,49512691.2,38.0,9.0
供销社概念,1.87,12505313.6,13.0,1.0
科创板做市股,1.9,189778344.0,32.0,11.0
科创板做市商,2.3,177663145.6,13.0,0.0
创新药,1.62,146941430.4,71.0,17.0
世界杯,0.71,255605172.8,11.0,8.0
信创,3.16,366966467.2,194.0,46.0
熔盐储能,1.03,7129167.2,8.0,1.0
空气能热泵,0.87,118163548.8,27.0,5.0
Chiplet概念,0.46,67822446.4,16.0,12.0
减速器,1.22,62448052.8,30.0,30.0
轮毂电机,0.49,5391332.4,5.0,3.0
生物质能发电,1.16,19560231.9,21.0,2.0
TOPCon电池,3.45,59966924.8,38.0,3.0
光伏高速公路,0.87,10480705.5,6.0,1.0
钒电池,2.52,50184868.8,18.0,2.0
钙钛矿电池,1.89,60679102.4,23.0,7.0
汽车一体化压铸,0.75,34844128.0,17.0,10.0
